struct_idx	county	phillimore	cobs_1086	cobs_1066	cattle_1086	cattle_1066	cows_1086	cows_1066	pigs_1086	pigs_1066	sheep_1086	sheep_1066	goats_1086	goats_1066	beehives_1086	beehives_1066	wild_mares_1086	wild_mares_1066	other_1086	other_code_1086	other_1066	other_code_1066
4147	SOM	"22,21"					2				15		5
4150	SOM	"22,24"							24		100		50
4151	SOM	"22,25"			15				9				
4152	SOM	"22,26"			9				14		9		
4153	SOM	"22,27"			3				13		100
4154	SOM	"22,28"							4		53
4156	SOM	"23,1"					2		25		124
4437	SOM	"47,22"									10
4438	SOM	"47,23"									24
4439	SOM	"47,24"			4				7		20
4454	DEV	"1,3"			10						90
4455	DEV	"1,4"			4						120
4456	DEV	"1,5"									100
4457	DEV	"1,6"			9						
4458	DEV	"1,7"									20
4459	DEV	"1,8"			2						40
4460	DEV	"1,9"			2						12
4461	DEV	"1,10"									30
4462	DEV	"1,11"			2						50
4463	DEV	"1,12"									120
4464	DEV	"1,13"			6								
4465	DEV	"1,14"									18		16
4466	DEV	"1,15"			8						31		
4467	DEV	"1,16"									42		
4468	DEV	"1,17"			5						50		
4469	DEV	"1,18"			4				10		31		
4470	DEV	"1,19"			3						50		
4471	DEV	"1,20"									15		
4475	DEV	"1,23"									50		12
4476	DEV	"1,24"									120		20
4478	DEV	"1,25"			55				17		250		50
4479	DEV	"1,26"			20						200		20
4480	DEV	"1,27"			30						170		30
4481	DEV	"1,28"									45		14
4483	DEV	"1,29"			100						400		70
4484	DEV	"1,30"			137				50		700		100
4485	DEV	"1,31"			3						50						
4486	DEV	"1,32"									26						
4487	DEV	"1,33"	2		15				4		60						
4488	DEV	"1,34"									194						
4489	DEV	"1,35"									28						
4491	DEV	"1,36"			4						40						
4492	DEV	"1,37"			78				30		200		50				
4493	DEV	"1,38"			90				30		300		20				
4494	DEV	"1,39"			90				30		500		50				
4495	DEV	"1,40"			67				28		500						
4496	DEV	"1,41"			30						70						
4498	DEV	"1,43"	1		5						40						
4499	DEV	"1,44"	1		5						50						
4500	DEV	"1,45"			20						130						
4501	DEV	"1,46"			4						50		9				5
4502	DEV	"1,47"									48		40				
4504	DEV	"1,49"			16						100						
4505	DEV	"1,50"			25				20		150						
4507	DEV	"1,51"			14						73		28				
4508	DEV	"1,52"			10												
4509	DEV	"1,53"			3												
4510	DEV	"1,54"	1		6						23						
4511	DEV	"1,55"			8						50						
4512	DEV	"1,56"	1		10				4		100						
4514	DEV	"1,57"			50				10		100		25				10
4515	DEV	"1,58"			33				20		50						
4516	DEV	"1,59"			45				15		100		18				
4517	DEV	"1,60"			18						300						
4518	DEV	"1,61"			7						100						
4519	DEV	"1,62"			6						60						
4520	DEV	"1,63"			15						60						
4521	DEV	"1,64"			38				15		160						
4522	DEV	"1,65"			17				14		80		35
4523	DEV	"1,66"	1		30				18		180		
4524	DEV	"1,67"			12						50		
4525	DEV	"1,68"			5						40		
4526	DEV	"1,69"			5						50		50
4527	DEV	"1,70"	2		11				11		150		
4528	DEV	"1,71"	1		2						100		
4529	DEV	"1,72"			5				2		10		
4532	DEV	"2,2"	4		64				57		400		125
4534	DEV	"2,4"	2		37				7		410		40
4535	DEV	"2,5"					3		2		100		
4536	DEV	"2,6"	1		3						33		
4537	DEV	"2,7"			5						101		
4538	DEV	"2,8"									64		
4542	DEV	"2,11"	1		15						153		
4543	DEV	"2,12"									40		
4544	DEV	"2,13"			14				12											
4545	DEV	"2,14"			3						60									
4546	DEV	"2,15"			10				3		140		14							
4547	DEV	"2,16"									80									
4548	DEV	"2,17"			2						42									
4549	DEV	"2,18"	4		20				16		350									
4550	DEV	"2,19"	1		5						76									
4551	DEV	"2,20"	1		6						24									
4552	DEV	"2,21"			6						31									
4553	DEV	"2,22"									150								1	animals
4554	DEV	"2,23"	1						20		60		40							
4555	DEV	"2,24"			9				12		100									
4560	DEV	"3,4"			42				3		161		30							
4561	DEV	"3,5"	1		12				9		50									
4562	DEV	"3,6"			18						150									
4563	DEV	"3,7"	1		10				3		63									
4564	DEV	"3,8"	1		30				7		85		5
4566	DEV	"3,9"							2		40		12
4569	DEV	"3,12"			20						60		20
4570	DEV	"3,13"			16				10		60		15
4571	DEV	"3,14"			4						65		
4573	DEV	"3,16"			5				7		50		
4574	DEV	"3,17"			3						30		
4575	DEV	"3,18"									20		
4576	DEV	"3,19"			15				9		60		
4577	DEV	"3,20"			7						30		
4578	DEV	"3,21"	1		4				1		52		
4579	DEV	"3,22"			3						36		
4580	DEV	"3,23"			3				14		10		17
4581	DEV	"3,24"	1								80		
4582	DEV	"3,25"	1		3						10		
4583	DEV	"3,26"			3						26		18
4585	DEV	"3,28"			2						30		16
4587	DEV	"3,30"			3						13		15
4588	DEV	"3,31"			2						6		10
4590	DEV	"3,33"			11				10		55		19
4593	DEV	"3,36"			8				9		90		16
4594	DEV	"3,37"			5				5		18		30
4595	DEV	"3,38"			8				15		67		11
4596	DEV	"3,39"							13				
4597	DEV	"3,40"			8				2		88		10
4600	DEV	"3,43"							11		20		12
4601	DEV	"3,44"			5				7		20		10
4602	DEV	"3,45"			3				4		23		20
4603	DEV	"3,46"			7				10		11		
4604	DEV	"3,47"			13				15		50		13
4605	DEV	"3,48"							10		15		22
4606	DEV	"3,49"			8				7		40		17
4607	DEV	"3,50"							13				
4608	DEV	"3,51"									40		
4609	DEV	"3,52"							15				
4610	DEV	"3,53"			5				5		20		16
4611	DEV	"3,54"			4						6		
4613	DEV	"3,56"			5				10		60		22
4615	DEV	"3,58"			8				3		48		10
4616	DEV	"3,59"			3				4		6		10
4617	DEV	"3,60"			6				3		135		48
4618	DEV	"3,61"			8				10		40		
4619	DEV	"3,62"			6				4		30		16
4620	DEV	"3,63"			4						40		15
4621	DEV	"3,64"			6						12		24
4622	DEV	"3,65"			5						41		
4623	DEV	"3,66"			6				5		20		14
4624	DEV	"3,67"	1		5						32		
4626	DEV	"3,69"					1		4		60									
4627	DEV	"3,70"			4															
4630	DEV	"3,73"			13				13		40		36							
4631	DEV	"3,74"			10				10		40								2	oxen
4632	DEV	"3,75"			10				5		10		8							
4633	DEV	"3,76"			6				15		27								2	oxen
4634	DEV	"3,77"			6				7		40		33							
4635	DEV	"3,78"			10				8		30									
4636	DEV	"3,79"									12									
4637	DEV	"3,80"			3				5		27		29							
4641	DEV	"3,84"							3		10									
4642	DEV	"3,85"			8															
4644	DEV	"3,86"	1		18				9		100		50							
4645	DEV	"3,87"																	3	oxen
4646	DEV	"3,88"					3												1	oxen
4647	DEV	"3,89"			15						40									
4648	DEV	"3,90"			8				25		100		
4649	DEV	"3,91"			18				12		80		
4650	DEV	"3,92"			10				15		50		20
4651	DEV	"3,93"	2		8				4		100		
4653	DEV	"3,95"			7						30		
4655	DEV	"3,97"	1		7				4		64		
4657	DEV	"3,99"									20		6
4659	DEV	"4,1"			5				7		26		4
4661	DEV	"5,1"	1		26				12		200		30
4662	DEV	"5,2"			26				12		200		30
4663	DEV	"5,3"			24				10		100		50
4664	DEV	"5,4"			15				4		44		24
4665	DEV	"5,5"			14				15		50		30
4666	DEV	"5,6"			6				4		118		
4667	DEV	"5,7"									20		6
4668	DEV	"5,8"			9				6		46		28
4671	DEV	"5,11"			7						28		18
4672	DEV	"5,12"			4						70		15
4673	DEV	"5,13"			5						40		
4674	DEV	"5,14"			4						70		34
4677	DEV	"6,1"			4						20		
4678	DEV	"6,2"			10						40		
4679	DEV	"6,3"			9				4		72		
4680	DEV	"6,4"			6				4		66		
4681	DEV	"6,5"			6				9		103		22
4683	DEV	"6,7"			9						68		11
4684	DEV	"6,8"			11				5		60		16
4685	DEV	"6,9"			4				3		70		
4686	DEV	"6,10"			6						44		
4687	DEV	"6,11"			14						55		
4688	DEV	"6,12"			11						70		30
4689	DEV	"6,13"							3				
4691	DEV	"7,1"	1		8						139						
4692	DEV	"7,2"	1		6						100		30				
4693	DEV	"7,3"	1		2						46						
4694	DEV	"7,4"					1				93						
4696	DEV	"8,1"			2						60						
4698	DEV	"9,1"			8												
4701	DEV	"10,1"	1		24				6		130						18
4702	DEV	"10,2"			20						72		30				
4704	DEV	"11,1"	4		18				60		300		22				
4705	DEV	"11,2"	1		16						200		23				
4706	DEV	"11,3"	1		7												
4708	DEV	"12,1"			23						345						
4710	DEV	"13,1"			16						80						
4713	DEV	"13a,2"			7						30						
4714	DEV	"13a,3"			5				12		100		10				
4722	DEV	"15,2"			3						8						
4723	DEV	"15,3"									80		14							
4724	DEV	"15,4"					1		8		40									
4725	DEV	"15,5"			7				2		40		40							
4726	DEV	"15,6"			4						24		24							
4728	DEV	"15,8"			21				10		120		12							
4729	DEV	"15,9"			9						100									
4730	DEV	"15,10"			20				10		80		16							
4731	DEV	"15,11"			4						20		16							
4732	DEV	"15,12"			19						150		50							
4733	DEV	"15,13"			23						150									
4734	DEV	"15,14"			3				2		100									
4737	DEV	"15,17"			5						19									
4738	DEV	"15,18"			4				7		20		15							
4741	DEV	"15,21"					6		4		20									
4742	DEV	"15,22"																	1	oxen
4743	DEV	"15,23"			2				4		100									
4744	DEV	"15,24"			7						50									
4745	DEV	"15,25"			16						10		10							
4746	DEV	"15,26"			5				15		80									
4747	DEV	"15,27"			4				6		60									
4749	DEV	"15,29"			2															
4750	DEV	"15,30"			2						20									
4753	DEV	"15,33"			8						29									
4754	DEV	"15,34"							5		15									
4755	DEV	"15,35"							8		60									
4756	DEV	"15,36"			10				3				22						3	unbroken mares
4757	DEV	"15,37"			6				3		24		10							
4758	DEV	"15,38"							1		9									
4759	DEV	"15,39"			6				4		50		12							
4760	DEV	"15,40"			11				40		100		35							
4761	DEV	"15,41"			11				12		100									
4762	DEV	"15,42"	1		4				5		110									
4763	DEV	"15,43"			9				9		68		
4764	DEV	"15,44"	1		10				9		107		9
4765	DEV	"15,45"			5				5		20		11
4766	DEV	"15,46"	1		5				3				30
4768	DEV	"15,47"			6						10		
4769	DEV	"15,48"			2				4		20		
4770	DEV	"15,49"			6				6		60		30
4771	DEV	"15,50"			2				6				
4772	DEV	"15,51"			3						35		
4778	DEV	"15,56"			10				20		100		25
4779	DEV	"15,57"									56		10
4780	DEV	"15,58"			7				20		19		38
4782	DEV	"15,60"			2								
4783	DEV	"15,61"			3				8		60		
4785	DEV	"15,63"									18		
4786	DEV	"15,64"	1		4						7		
4787	DEV	"15,65"			3						22		4							
4788	DEV	"15,66"			4				2		20									
4789	DEV	"15,67"	1		11				18		75		30							
4792	DEV	"15,70"			4				3		60		20							
4793	DEV	"15,71"									50		20						1	animals
4796	DEV	"15,74"							6		30		6							
4797	DEV	"15,75"			4						80									
4798	DEV	"15,76"									14								1	animals
4799	DEV	"15,77"			4						15									
4801	DEV	"15,79"			6						28		30							
4805	DEV	"16,3"	1		52						80									
4806	DEV	"16,4"			13				3		32								2	oxen
4807	DEV	"16,5"			18						60						8			
4808	DEV	"16,6"			12						40		12							
4809	DEV	"16,7"	1		6				10		135		20							
4810	DEV	"16,8"			5				3		48								2	oxen
4811	DEV	"16,9"			18						50		
4813	DEV	"16,11"			11				8		80		
4814	DEV	"16,12"			11				33		100		30
4815	DEV	"16,13"									30		
4816	DEV	"16,14"	1		28						200		40
4817	DEV	"16,15"			4						40		10
4818	DEV	"16,16"			15								
4819	DEV	"16,17"	1		18						60		
4820	DEV	"16,18"			18				3		60		
4821	DEV	"16,19"	1		17						50		
4822	DEV	"16,20"			17						45		21
4823	DEV	"16,21"			9				6		50		16
4824	DEV	"16,22"			5				3		30		
4825	DEV	"16,23"			7				2		40		10
4826	DEV	"16,24"			8						8		
4827	DEV	"16,25"			22						11		7
4828	DEV	"16,26"			13				14		50									
4829	DEV	"16,27"			30				8		42		19							
4830	DEV	"16,28"									40									
4831	DEV	"16,29"			14						11									
4832	DEV	"16,30"			6															
4833	DEV	"16,31"			25						100						1			
4834	DEV	"16,32"							5		28		10							
4835	DEV	"16,33"			4				5		60									
4836	DEV	"16,34"			16						50		15							
4837	DEV	"16,35"			8				13		20									
4838	DEV	"16,36"			5				9		30		15						1	mare?
4839	DEV	"16,37"							5		20								1	animals
4841	DEV	"16,39"			13				12		22		18							
4842	DEV	"16,40"			5				3		70		30							
4845	DEV	"16,43"			20				10		200									
4846	DEV	"16,44"			30				8		82		25							
4847	DEV	"16,45"			5						20									
4848	DEV	"16,46"			4						27									
4849	DEV	"16,47"			10						26		27							
4850	DEV	"16,48"			5						30									
4851	DEV	"16,49"			3						25									
4852	DEV	"16,50"									20								1	animals
4853	DEV	"16,51"			8						60									
4854	DEV	"16,52"	1		6						34									
4855	DEV	"16,53"			2				4											
4856	DEV	"16,54"																	1	animals
4857	DEV	"16,55"			5						20									
4858	DEV	"16,56"			2				2		20									
4859	DEV	"16,57"			12				16		25		30							
4860	DEV	"16,58"	1		5						150									
4861	DEV	"16,59"			4				1		40									
4865	DEV	"16,63"	1		2						70		27							
4867	DEV	"16,65"			2				8		100		28
4868	DEV	"16,66"									40		5
4869	DEV	"16,67"			5				3		60		24
4870	DEV	"16,68"			15				10		40		
4871	DEV	"16,69"			11				9		163		
4872	DEV	"16,70"			2				4		100		
4873	DEV	"16,71"			9				13		57		
4874	DEV	"16,72"			12				2		80		16
4875	DEV	"16,73"			12						35		36
4876	DEV	"16,74"			5						20		
4878	DEV	"16,76"	1		5				22		60		12
4880	DEV	"16,78"			25						60		30
4882	DEV	"16,80"			14				10		60		
4884	DEV	"16,82"			10				8		20		
4885	DEV	"16,83"	1		8				12		100		15
4886	DEV	"16,84"	1		5				15		133		
4887	DEV	"16,85"			2				2		30		
4888	DEV	"16,86"			5						32		
4889	DEV	"16,87"			4				5		28		8
4890	DEV	"16,88"			5						48		
4891	DEV	"16,89"			20								
4892	DEV	"16,90"			14				3		92		
4893	DEV	"16,91"			4								
4894	DEV	"16,92"					1				5		
4895	DEV	"16,93"									4		
4896	DEV	"16,94"			18				6		55		24
4897	DEV	"16,95"	1		4				4		80		
4898	DEV	"16,96"	1		3				3		27		
4899	DEV	"16,97"			4						82		
4901	DEV	"16,99"							4		10		
4904	DEV	"16,102"			5				10		40		
4905	DEV	"16,103"							3				
4906	DEV	"16,104"	1		7						60		15							
4907	DEV	"16,105"							5		30		10							
4908	DEV	"16,106"	1		3						40									
4909	DEV	"16,107"			14						100		31							
4910	DEV	"16,108"			11						60		35							
4911	DEV	"16,109"									40									
4912	DEV	"16,110"			6				11		82									
4913	DEV	"16,111"			22				12		60		27							
4914	DEV	"16,112"	1		6						100									
4915	DEV	"16,113"			9						59									
4916	DEV	"16,114"			6				6		74									
4918	DEV	"16,116"			6								24							
4919	DEV	"16,117"			9						44									
4920	DEV	"16,118"			2						24		62							
4921	DEV	"16,119"									40									
4922	DEV	"16,120"									22								1	animals
4923	DEV	"16,121"			10						50		10
4924	DEV	"16,122"			9				12		40		20
4925	DEV	"16,123"			5						40		20
4927	DEV	"16,125"			4						12		
4928	DEV	"16,126"									19		
4930	DEV	"16,128"			14						100		18
4931	DEV	"16,129"	2		23				23		65		
4932	DEV	"16,130"			3				4		36		4
4933	DEV	"16,131"			3						35		
4934	DEV	"16,132"			3						25		
4935	DEV	"16,133"			8						60		
4937	DEV	"16,135"							2		15		
4938	DEV	"16,136"			12						100		
4939	DEV	"16,137"			2						40		10
4940	DEV	"16,138"			4				16		50		
4942	DEV	"16,140"			60						400		10
4943	DEV	"16,141"			11				6		66		19
4944	DEV	"16,142"			12				8		41		
4945	DEV	"16,143"			30				6		80		
4946	DEV	"16,144"			13						50		
4947	DEV	"16,145"									8		
4948	DEV	"16,146"			8								
4950	DEV	"16,148"			12				2		60		25
4951	DEV	"16,149"							1				
4952	DEV	"16,150"							5		15		
4954	DEV	"16,152"			6				8		40		30
4955	DEV	"16,153"	1		12				2				35
4956	DEV	"16,154"			2				3		13		11
4957	DEV	"16,155"	1								60		
4959	DEV	"16,157"									33		
4960	DEV	"16,158"			5				16		18		6
4961	DEV	"16,159"			6								
4962	DEV	"16,160"			10						30		25							
4964	DEV	"16,162"									30									
4965	DEV	"16,163"			12						100									
4966	DEV	"16,164"			16				16		100		30						18	unbroken mares
4967	DEV	"16,165"			10						66									
4968	DEV	"16,166"			12				12		30		30							
4969	DEV	"16,167"			4				3		4									
4972	DEV	"16,170"			5				8		57		20							
4973	DEV	"16,171"			3						75									
4974	DEV	"16,172"			10															
4975	DEV	"16,173"									3									
4977	DEV	"16,175"			3				4		32		13							
4978	DEV	"16,176"			4				15		40		15							
4982	DEV	"17,3"			17						60									
4983	DEV	"17,4"			20						140									
4984	DEV	"17,5"			31				4		200		8							
4985	DEV	"17,6"			17						40									
4986	DEV	"17,7"			8						42		20							
4987	DEV	"17,8"			2				11		40									
4988	DEV	"17,9"									25								1	oxen
4989	DEV	"17,10"			7															
4991	DEV	"17,12"			8						28									
4992	DEV	"17,13"			28				4		150		30							
4993	DEV	"17,14"			2						40									
4994	DEV	"17,15"			47				9		200									
4995	DEV	"17,16"			35						200									
4996	DEV	"17,17"			8				2		36									
4998	DEV	"17,19"			3															
4999	DEV	"17,20"			5				2		18		15							
5000	DEV	"17,21"	1								80		20						1	animals
5001	DEV	"17,22"			8						50									
5002	DEV	"17,23"									26									
5005	DEV	"17,26"			2						29								1	animals
5006	DEV	"17,27"									29									
5007	DEV	"17,28"			2				13		57									
5008	DEV	"17,29"	2		4				10		200									
5009	DEV	"17,30"	1		6				8		120									
5010	DEV	"17,31"			6				14		70		6							
5011	DEV	"17,32"	1		4				6		42		11							
5012	DEV	"17,33"	1		2				16		150									
5013	DEV	"17,34"			8				15		80									
5014	DEV	"17,35"			3						11									
5015	DEV	"17,36"			4						143		5							
5020	DEV	"17,41"			15						120		120							
5021	DEV	"17,42"			18				12		125									
5022	DEV	"17,43"			10				14		122		33							
5023	DEV	"17,44"			2						50		5							
5025	DEV	"17,46"			5						50									
5027	DEV	"17,48"	1		5				11		140									
5028	DEV	"17,49"	2						27		60		4						1	animals
5029	DEV	"17,50"									8									
5030	DEV	"17,51"	1		2						40									
5032	DEV	"17,53"									50									
5033	DEV	"17,54"			7				13		60									
5034	DEV	"17,55"							2		40									
5035	DEV	"17,56"									33									
5036	DEV	"17,57"							13		33		10							
5038	DEV	"17,59"			4						50		10							
5039	DEV	"17,60"									40									
5040	DEV	"17,61"									17								1	animals
5042	DEV	"17,63"							6		26		6							
5043	DEV	"17,64"									67									
5044	DEV	"17,65"									40									
5045	DEV	"17,66"									15									
5046	DEV	"17,67"									40									
5047	DEV	"17,68"			6				7		42									
5048	DEV	"17,69"	1		3						70									
5050	DEV	"17,71"									10									
5052	DEV	"17,73"			15				10		180		60							
5055	DEV	"17,76"									27		16						1	animals
5056	DEV	"17,77"																	1	animals
5057	DEV	"17,78"			5				2		52									
5058	DEV	"17,79"			9				10		20									
5059	DEV	"17,80"									7									
5060	DEV	"17,81"									20									
5062	DEV	"17,83"									60								1	animals
5065	DEV	"17,86"									80								1	animals
5067	DEV	"17,88"									90									
5068	DEV	"17,89"			2				1		12									
5070	DEV	"17,91"							7		31									
5071	DEV	"17,92"			2						28		
5072	DEV	"17,93"							2				
5074	DEV	"17,95"			2				1		84		
5076	DEV	"17,97"			5				10		40		22
5079	DEV	"17,100"									38		
5081	DEV	"17,102"			5				6		10		18
5082	DEV	"17,103"			3						7		
5085	DEV	"17,106"			4						40		
5086	DEV	"17,107"									20		
5088	DEV	"18,1"							7		65		
5091	DEV	"19,2"			10						40		
5093	DEV	"19,4"			8				5		20		
5094	DEV	"19,5"			10						100		30
5095	DEV	"19,6"			8				7		50		
5096	DEV	"19,7"			11						80		
5097	DEV	"19,8"	1								100		
5098	DEV	"19,9"			2						62									
5099	DEV	"19,10"			6				6		40		20							
5100	DEV	"19,11"			16				12		300		5							
5101	DEV	"19,12"	1		12				5		100		20							
5102	DEV	"19,13"			4						9		26							
5103	DEV	"19,14"			7				9		26		4							
5104	DEV	"19,15"	1		32				24		287		35							
5105	DEV	"19,16"			58				22		200		75				72			
5106	DEV	"19,17"			34				7		50		12							
5107	DEV	"19,18"							3		24		8						1	animals
5108	DEV	"19,19"			10				4		50									
5109	DEV	"19,20"									18									
5110	DEV	"19,21"							9		44									
5112	DEV	"19,23"			7						50		25							
5113	DEV	"19,24"	1		4						50									
5114	DEV	"19,25"			2						84									
5115	DEV	"19,26"			6						60		
5116	DEV	"19,27"			10				20		80		
5117	DEV	"19,28"									100		
5118	DEV	"19,29"	1		13						60		
5119	DEV	"19,30"	1		12						94		
5120	DEV	"19,31"	3		34				8		324		
5122	DEV	"19,33"			4				16		40		15
5124	DEV	"19,35"			2				6		160		
5126	DEV	"19,37"			2				15		200		100
5127	DEV	"19,38"	1		12						60		
5128	DEV	"19,39"			14						69		
5129	DEV	"19,40"			7				5		20		11
5130	DEV	"19,41"									30		25
5133	DEV	"19,44"			6				5		14		14
5134	DEV	"19,45"	1		5								20
5135	DEV	"19,46"			10						20		18
5137	DEV	"20,1"			21				9		140		19							
5139	DEV	"20,3"			10						27		27							
5140	DEV	"20,4"									100									
5141	DEV	"20,5"									100									
5142	DEV	"20,6"			5															
5146	DEV	"20,10"	1		8						159		42							
5147	DEV	"20,11"	1		6				6		52									
5148	DEV	"20,12"							7		40								1	animals
5149	DEV	"20,13"			16				13		70		50							
5150	DEV	"20,14"			8						72									
5151	DEV	"20,15"	1		15				1		72									
5153	DEV	"20,17"	1								62								1	animals
5155	DEV	"21,1"			6				7		17		11							
5156	DEV	"21,2"					1		2		30									
5157	DEV	"21,3"			6						100		4							
5158	DEV	"21,4"			20				5		50									
5161	DEV	"21,7"	1								60		7
5162	DEV	"21,8"											80
5163	DEV	"21,9"	1		27						40		15
5164	DEV	"21,10"			2				2				15
5166	DEV	"21,12"			4								
5168	DEV	"21,14"			3						40		
5169	DEV	"21,15"									4		
5170	DEV	"21,16"			6						110		
5172	DEV	"21,18"					1		5		30		
5173	DEV	"21,19"			6				5		146		14
5174	DEV	"21,20"			20				40		130		
5175	DEV	"21,21"									4		
5177	DEV	"22,1"	1		8				17		150		40
5180	DEV	"23,1"			3						20		
5181	DEV	"23,2"	2		11				30		200		83
5182	DEV	"23,3"			10				9		50		37
5183	DEV	"23,4"			3						25						
5184	DEV	"23,5"	2		2				6		23		50				
5185	DEV	"23,6"			4				12		109		54				
5186	DEV	"23,7"			6				14		12						
5188	DEV	"23,9"	1		14						220		10				
5189	DEV	"23,10"			3				15		80		27				
5190	DEV	"23,11"			9				3		22		18				
5191	DEV	"23,12"			8						75		4				
5193	DEV	"23,14"			6						17						
5194	DEV	"23,15"			25						100						
5195	DEV	"23,16"	1		16				16		166						
5196	DEV	"23,17"	1		36				20								
5197	DEV	"23,18"	2		26				30		100		50				20
5198	DEV	"23,19"			26								30				
5199	DEV	"23,20"			40				12		60		40				
5200	DEV	"23,21"	1		38				28		200		50				4
5201	DEV	"23,22"	2		23				10		340		30						1	animals
5202	DEV	"23,23"			2				1		35		6							
5203	DEV	"23,24"			4				5		45									
5204	DEV	"23,25"									6									
5205	DEV	"23,26"			6						40		15							
5209	DEV	"24,2"	1		12						67		13							
5210	DEV	"24,3"	1		16						68									
5212	DEV	"24,5"	1		30				4		80									
5213	DEV	"24,6"			3						18									
5214	DEV	"24,7"			4				2		20									
5215	DEV	"24,8"	1		20				2		8									
5216	DEV	"24,9"			7				9		34									
5217	DEV	"24,10"			9				1		51		4							
5220	DEV	"24,13"	1		14				2				33				2			
5221	DEV	"24,14"	1		10				7		121		12				6			
5224	DEV	"24,17"	1		10				3		26		12							
5226	DEV	"24,19"							12		15						
5228	DEV	"24,21"	1		2						80						
5229	DEV	"24,22"			20				13		40		12				
5230	DEV	"24,23"	1		23				15		106						
5232	DEV	"24,25"	1		10												
5233	DEV	"24,26"	1		7						36						
5234	DEV	"24,27"			12						50						
5235	DEV	"24,28"	1		18				3		60						
5237	DEV	"24,30"	1		22												
5239	DEV	"24,32"			21				10		20						
5241	DEV	"25,1"			20				5		89						16
5242	DEV	"25,2"			8				2		10		10				
5243	DEV	"25,3"							3								
5244	DEV	"25,4"			20				6		76						
5245	DEV	"25,5"	1		20				18		114						
5246	DEV	"25,6"			10												
5247	DEV	"25,7"			7						36		8							
5248	DEV	"25,8"			9															
5249	DEV	"25,9"			10						29		16							
5251	DEV	"25,11"			7				10		30									
5252	DEV	"25,12"			5															
5253	DEV	"25,13"			6				2		58		30							
5254	DEV	"25,14"	1		11						100		80							
5255	DEV	"25,15"	2		7				4		77									
5256	DEV	"25,16"	1		14						45									
5258	DEV	"25,18"			4															
5260	DEV	"25,20"			9						62									
5261	DEV	"25,21"			7															
5262	DEV	"25,22"	1		2						23									
5263	DEV	"25,23"			12						20		30							
5264	DEV	"25,24"							16		24		11						1	animals
5265	DEV	"25,25"			6				12		56		26							
5272	DEV	"27,1"							8		84		50							
5274	DEV	"28,1"			30				23		75		25							
5275	DEV	"28,2"			14				10		80		20							
5276	DEV	"28,3"			20				7		50									
5277	DEV	"28,4"			30				23		95		10							
5278	DEV	"28,5"			15				4		5		13							
5279	DEV	"28,6"			7				3		50									
5280	DEV	"28,7"							10		60		5							
5281	DEV	"28,8"			8				11		80		9							
5282	DEV	"28,9"			5				3		100		10							
5283	DEV	"28,10"			7				5		20		10							
5284	DEV	"28,11"									42									
5285	DEV	"28,12"									75								1	animals
5286	DEV	"28,13"			15				16		100		10							
5288	DEV	"28,15"			15				12		160		40							
5289	DEV	"28,16"			7				2		40		18							
5308	DEV	"31,1"			4				3		110									
5309	DEV	"31,2"			2						65		9							
5314	DEV	"32,2"			5						28		15							
5315	DEV	"32,3"									66								1	animals
5316	DEV	"32,4"			4						32									
5317	DEV	"32,5"							10		30									
5318	DEV	"32,6"			5						40		23							
5319	DEV	"32,7"	1		3						100									
5322	DEV	"32,10"							10		6								1	animals
5324	DEV	"33,1"	1		5				5		250									
5325	DEV	"33,2"	1						2		100									
5327	DEV	"34,1"			30				2		38									
5328	DEV	"34,2"			35				10		40		10							
5330	DEV	"34,4"			10						12									
5332	DEV	"34,6"			40				10		120		5						30	unbroken mares
5333	DEV	"34,7"			2				1											
5334	DEV	"34,8"					1		7		60									
5336	DEV	"34,10"			42				24		150		40							
5338	DEV	"34,12"									36									
5340	DEV	"34,14"	1		25				8		100		30						104	unbroken mares
5341	DEV	"34,15"			27				8		30									
5342	DEV	"34,16"			13				8		50		20							
5344	DEV	"34,18"	1		11				12		100									
5345	DEV	"34,19"			10						45									
5346	DEV	"34,20"			13				4		30		8							
5348	DEV	"34,22"	1		15				1		30		50							
5349	DEV	"34,23"	1		4				5		23									
5350	DEV	"34,24"			8				16		78									
5351	DEV	"34,25"			6						50		10							
5352	DEV	"34,26"			16				1		20		17							
5354	DEV	"34,28"							3		25		15							
5355	DEV	"34,29"	1		3						41									
5356	DEV	"34,30"			3						14		
5357	DEV	"34,31"	1		5				14		103		23
5359	DEV	"34,33"			8				17		45		17
5361	DEV	"34,35"			4						37		
5364	DEV	"34,38"			4				3		30		60
5365	DEV	"34,39"			4				3		32		7
5366	DEV	"34,40"			18				18		100		
5367	DEV	"34,41"			3						2		
5369	DEV	"34,43"			10						60		
5370	DEV	"34,44"			12				15		100		60
5372	DEV	"34,46"			5						3		
5374	DEV	"34,48"			8				17		560		
5375	DEV	"34,49"	1		10				9		231		
5376	DEV	"34,50"	1		7				8		62		13
5377	DEV	"34,51"			15				8		57		32
5378	DEV	"34,52"			7				7				25
5381	DEV	"34,55"			10				10		106		
5386	DEV	"35,1"			4				20		75		
5387	DEV	"35,2"			5				6		68		
5388	DEV	"35,3"			20				8		30		10
5389	DEV	"35,4"			3				1		12		
5390	DEV	"35,5"			5				4		11		9
5392	DEV	"35,7"			9								
5393	DEV	"35,8"			5				6		20		1
5394	DEV	"35,9"			20						30		
5395	DEV	"35,10"			8				3		68		
5397	DEV	"35,12"			6				11		50		
