place_id	struct_idx	sub_idx	county	phillimore	area	hundred	std_hundred	vill	std_vill	grid	m_type	holding	units	waste_86	places_idx	phillimore_with_new_yks	county_name	country
139450	12530	1	CHS	"2,26"		Rushton	Rushton	Tiverton	Tiverton	SJ5560	[M]	2	geld	N	64031	"2,26"		UK
139460	12531	1	CHS	"2,27"		Rushton	Rushton	Spurstow	Spurstow	SJ5556	[M]	1.5	geld	N	57616	"2,27"		UK
139470	12532	1	CHS	"2,28"		Rushton	Rushton	Peckforton	Peckforton	SJ5356	[M]	1	geld	N	48476	"2,28"		UK
139480	12533	1	CHS	"2,29"		Willaston	Willaston	[Guilden] Sutton	Guilden Sutton	SJ4468	[M]	1	geld	N	60731	"2,29"		UK
139490	12534	1	CHS	"2,30"		{Hamestan}	Hamestan	Butley	Butley	SJ9177	[M]	1	geld	Y	12256	"2,30"		UK
139500	12535	1	CHS	"2,31"		{Hamestan}	Hamestan	Cranage	Cranage	SJ7568	[M]	1	geld	N	18326	"2,31"		UK
139520	12537	1	CHS	"3,1"		Willaston	Willaston	Mollington	Mollington	SJ3970	[M]	1.5	geld	N	43601	"3,1"		UK
139530	12538	1	CHS	"3,2"		Willaston	Willaston	Mollington	Mollington	SJ3970	[M]	1	geld	N	43601	"3,2"		UK
139540	12539	1	CHS	"3,3"		Willaston	Willaston	Leighton	Leighton	SJ2879	[M]	1	geld	N	38696	"3,3"		UK
139550	12540	1	CHS	"3,4"		Willaston	Willaston	Thornton [Hough]	Thornton Hough	SJ3080	[M]	0.5	geld	N	62646	"3,4"		UK
139560	12541	1	CHS	"3,5"		Willaston	Willaston	Gayton	Gayton	SJ2680	[M]	1	geld	N	26561	"3,5"		UK
139570	12542	1	CHS	"3,6"		Willaston	Willaston	Heswall	Heswall	SJ2682	[M]	2	geld	N	31446	"3,6"		UK
139580	12543	1	CHS	"3,7"		Willaston	Willaston	Thurstaston	Thurstaston	SJ2483	[M]	2	geld	N	63571	"3,7"		UK
139590	12544	1	CHS	"3,8"		Willaston	Willaston	[Little] Caldy	Little Caldy	SJ2385	[M]	3	geld	N	12691	"3,8"		UK
139600	12545	1	CHS	"3,9"		Willaston	Willaston	[Great and Little] Meols	Great and Little Meols	SJ2390	[M]	1	geld	N	42476	"3,9"		UK
139610	12546	1	CHS	"3,10"		Willaston	Willaston	[Great and Little] Meols	Great and Little Meols	SJ2390	[M]	1	geld	N	42476	"3,10"		UK
139620	12547	1	CHS	"3,11"		Willaston	Willaston	Wallasey	Wallasey	SJ3192	[M]	1.5	geld	N	66861	"3,11"		UK
